userID,itemID,amount,date,time
381453,1266,78,2017-11-01,23:15:36
942791,8493,84,2017-11-01,23:15:36
747491,7790,69,2017-11-01,23:16:25
805960,3054,83,2017-11-01,23:16:35
85816,1822,61,2017-11-01,23:17:50
698531,2189,22,2017-11-01,23:18:26
985547,6887,8,2017-11-01,23:19:39
526694,7881,14,2017-11-01,23:19:41
508549,244,83,2017-11-01,23:19:48
336583,2489,91,2017-11-01,23:19:52
979004,7613,29,2017-11-01,23:19:53
316094,6066,78,2017-11-01,23:22:48
718298,5525,46,2017-11-01,23:23:34
468226,9516,38,2017-11-01,23:23:34
255204,5230,48,2017-11-01,23:24:11
389740,7292,40,2017-11-01,23:24:12
552139,7960,88,2017-11-01,23:24:18
803414,916,81,2017-11-01,23:24:22
980708,9296,88,2017-11-01,23:24:33
187390,9596,4,2017-11-01,23:26:09
685405,4321,24,2017-11-01,23:26:13
616591,121,69,2017-11-01,23:26:23
496622,1099,28,2017-11-01,23:26:30
390156,7778,62,2017-11-01,23:26:30
437597,4740,33,2017-11-01,23:27:26
630329,3251,62,2017-11-01,23:28:24
794113,1772,10,2017-11-01,23:28:37
336496,8224,5,2017-11-01,23:29:41
794089,3813,57,2017-11-01,23:29:42
147301,5160,92,2017-11-01,23:29:52
397646,4451,39,2017-11-01,23:30:03
207330,5776,29,2017-11-01,23:30:10
481465,3600,64,2017-11-01,23:30:11
317280,9878,64,2017-11-01,23:30:11
814316,9295,48,2017-11-01,23:30:15
770197,7096,13,2017-11-01,23:30:17
463447,7279,89,2017-11-01,23:34:04
199052,4053,69,2017-11-01,23:35:04
626241,1744,29,2017-11-01,23:35:05
768060,1899,39,2017-11-01,23:35:14
689191,975,96,2017-11-01,23:36:21
435690,6219,62,2017-11-01,23:36:28
162850,4686,96,2017-11-01,23:36:32
543931,2134,70,2017-11-01,23:36:34
380490,6948,39,2017-11-01,23:37:57
988857,3809,57,2017-11-01,23:37:58
320783,4967,3,2017-11-01,23:38:21
642061,9932,29,2017-11-01,23:38:27
266881,4939,30,2017-11-01,23:38:28
361807,9681,61,2017-11-01,23:38:34
611867,4382,54,2017-11-01,23:38:39
336666,9231,50,2017-11-01,23:38:39
659754,2669,55,2017-11-01,23:38:55
880251,9330,56,2017-11-01,23:39:00
491642,6956,12,2017-11-01,23:40:08
995585,1420,73,2017-11-01,23:40:09
87199,875,13,2017-11-01,23:40:37
375856,955,76,2017-11-01,23:40:46
439706,1537,39,2017-11-01,23:40:54
423971,2709,59,2017-11-01,23:40:55
182714,6019,17,2017-11-01,23:42:03
624651,1047,96,2017-11-01,23:42:03
323168,8377,80,2017-11-01,23:42:18
286183,500,13,2017-11-01,23:42:20
65688,5908,67,2017-11-01,23:43:23
58588,1037,70,2017-11-01,23:43:37
579431,6536,58,2017-11-01,23:43:38
413736,4349,72,2017-11-01,23:43:38
773279,255,41,2017-11-01,23:43:39
728615,9278,24,2017-11-01,23:43:44
279144,6025,13,2017-11-01,23:43:52
697273,6180,87,2017-11-01,23:44:20
70742,9175,84,2017-11-01,23:45:00
441024,4837,31,2017-11-01,23:45:15
780813,3975,25,2017-11-01,23:49:23
