userID,itemID,amount,date,time
94372,4,98,2021-02-18,01:05:36
914115,4,3,2021-02-07,21:43:40
770959,6,16,2021-02-12,07:35:59
756527,5,64,2021-02-06,02:38:51
632077,5,66,2021-02-07,14:16:16
438511,3,12,2021-02-02,04:04:53
192681,5,96,2021-02-18,09:28:44
175317,1,85,2021-02-27,18:44:02
438513,7,83,2021-02-12,14:31:52
43239,2,26,2021-02-11,13:02:14
560318,6,52,2021-02-12,08:51:06
21819,4,80,2021-02-26,13:56:30
724510,5,28,2021-02-09,08:22:00
142159,3,66,2021-02-18,10:45:42
247228,7,4,2021-02-02,09:29:06
392926,5,18,2021-02-25,15:03:54
89413,6,24,2021-02-28,19:37:34
306860,6,65,2021-02-28,01:06:39
407934,7,52,2021-02-24,11:33:25
968129,4,34,2021-02-03,11:46:18
357740,9,5,2021-02-05,18:53:27
248559,1,18,2021-02-18,16:16:25
126086,8,5,2021-02-14,18:51:46
940777,3,4,2021-02-04,01:57:09
583309,6,8,2021-02-28,02:17:47
925654,5,46,2021-02-08,09:02:17
509366,7,2,2021-02-04,09:30:47
354576,5,32,2021-02-08,17:58:40
136681,3,47,2021-02-11,10:28:17
36060,4,58,2021-02-27,15:21:25
866089,2,34,2021-02-01,06:23:20
865278,1,59,2021-02-14,06:20:42
291841,2,83,2021-02-04,03:49:01
766568,2,76,2021-02-02,07:48:48
945244,3,97,2021-02-20,09:00:02
96215,2,66,2021-02-22,16:18:52
319318,8,1,2021-02-04,18:57:19
368574,7,5,2021-02-26,01:41:21
695351,3,45,2021-02-19,02:45:57
192561,1,9,2021-02-01,17:41:23
760670,8,84,2021-02-08,10:11:41
440505,2,84,2021-02-07,12:06:37
297689,9,53,2021-02-06,23:21:07
809204,3,92,2021-02-16,02:19:06
783261,7,22,2021-02-27,06:53:59
183915,1,92,2021-02-24,18:09:39
297291,1,33,2021-02-01,22:42:38
849642,5,38,2021-02-07,05:31:08
883699,1,11,2021-02-06,18:09:53
343829,8,69,2021-02-28,04:53:48
850603,2,63,2021-02-06,05:09:05
818732,4,73,2021-02-11,12:35:50
17421,3,6,2021-02-16,21:18:06
395026,7,16,2021-02-22,03:18:02
756839,7,31,2021-02-26,13:08:51
976596,8,47,2021-02-23,21:08:59
54913,2,97,2021-02-01,06:05:21
562095,1,90,2021-02-22,13:43:25
841189,9,37,2021-02-09,17:28:06
949971,1,75,2021-02-26,19:03:36
57143,7,96,2021-02-05,04:15:15
986625,6,25,2021-02-13,07:20:26
116440,7,60,2021-02-28,08:48:59
854357,1,66,2021-02-22,15:40:00
280205,6,63,2021-02-06,03:03:58
52029,4,51,2021-02-27,10:00:53
991483,9,92,2021-02-23,01:32:27
876044,5,87,2021-02-19,03:34:13
440059,4,30,2021-02-04,09:59:15
347015,1,79,2021-02-13,16:44:10
740392,7,34,2021-02-20,10:14:55
731536,4,63,2021-02-20,12:20:58
871463,1,29,2021-02-14,12:43:05
849557,1,61,2021-02-11,20:47:14
707102,7,79,2021-02-21,20:57:53
53471,9,66,2021-02-24,23:53:01
541674,6,87,2021-02-20,22:32:50
573462,4,34,2021-02-09,00:35:20
673635,3,60,2021-02-10,07:00:10
684278,8,43,2021-02-02,00:16:30
595710,9,89,2021-02-17,23:15:03
264712,2,78,2021-02-07,01:02:13
52892,7,44,2021-02-03,06:20:51
867534,4,8,2021-02-05,15:42:31
861766,5,53,2021-02-16,17:39:51
446757,2,7,2021-02-26,09:48:06
203242,5,98,2021-02-18,03:52:03
733320,1,72,2021-02-12,16:58:17
461227,1,13,2021-02-08,13:56:34
913232,3,81,2021-02-06,15:12:37
949845,8,38,2021-02-11,14:36:09
121323,6,10,2021-02-04,22:54:27
991586,9,3,2021-02-13,19:57:18
121034,4,26,2021-02-02,05:28:26
535095,3,48,2021-02-03,08:22:11
154341,7,29,2021-02-10,05:34:35
443286,7,7,2021-02-17,21:58:56
317581,4,36,2021-02-15,04:53:17
398572,6,44,2021-02-12,07:45:52
195662,1,42,2021-02-12,07:19:08
798991,3,61,2021-02-26,19:50:12
158522,8,89,2021-02-20,07:23:33
91464,4,51,2021-02-01,20:31:19
612733,3,25,2021-02-19,17:45:12
808219,5,65,2021-02-07,08:22:59
887285,9,44,2021-02-25,02:50:51
83557,9,5,2021-02-21,00:48:34
535,3,70,2021-02-11,02:51:30
870414,7,50,2021-02-10,13:09:07
23035,9,90,2021-02-09,03:38:39
66074,6,7,2021-02-13,22:06:14
525985,7,48,2021-02-15,08:30:58
70882,3,8,2021-02-26,06:25:50
926597,5,17,2021-02-05,04:40:58
39372,5,50,2021-02-03,02:33:05
486403,1,3,2021-02-07,07:40:44
618904,1,82,2021-02-09,14:53:30
392851,5,7,2021-02-19,07:40:42
880850,7,45,2021-02-21,03:47:22
957669,5,74,2021-02-05,18:51:52
280847,3,47,2021-02-16,00:26:50
509346,3,62,2021-02-22,17:24:00
759046,5,44,2021-02-26,16:48:54
975893,5,20,2021-02-16,05:08:30
541433,2,29,2021-02-26,18:36:52
388134,9,2,2021-02-23,17:03:58
764806,1,56,2021-02-18,17:49:29
655311,9,45,2021-02-15,03:42:01
565897,6,54,2021-02-14,11:06:54
397484,4,20,2021-02-24,05:08:38
442380,2,22,2021-02-25,11:23:17
948812,6,44,2021-02-19,16:24:23
809010,6,2,2021-02-11,05:57:17
653061,7,68,2021-02-22,02:46:05
780388,1,93,2021-02-09,20:26:08
987434,2,32,2021-02-15,14:50:01
412124,9,61,2021-02-22,08:13:18
995365,1,98,2021-02-17,14:46:36
483858,5,92,2021-02-11,18:28:47
891893,9,55,2021-02-07,09:43:43
151886,4,31,2021-02-16,11:56:48
722678,7,68,2021-02-22,21:11:23
840782,2,20,2021-02-08,01:25:28
168233,6,11,2021-02-27,02:00:55
391409,5,2,2021-02-12,19:18:28
833746,4,84,2021-02-14,16:46:22
276148,5,74,2021-02-25,04:28:13
511355,9,55,2021-02-26,17:56:45
622528,6,95,2021-02-24,17:28:35
287444,3,86,2021-02-10,00:36:01
653062,2,39,2021-02-17,07:21:33
50265,7,83,2021-02-27,00:18:47
492912,4,35,2021-02-14,16:35:10
451635,5,80,2021-02-03,10:14:57
766009,3,94,2021-02-18,23:23:49
111920,5,53,2021-02-08,16:27:01
253350,6,61,2021-02-20,16:56:58
415374,8,60,2021-02-06,17:06:04
593067,5,62,2021-02-17,19:53:57
763167,4,12,2021-02-12,20:50:11
733798,5,60,2021-02-23,09:46:59
425841,4,67,2021-02-26,04:26:13
706160,1,16,2021-02-04,00:35:08
759793,7,20,2021-02-07,08:56:55
64481,3,13,2021-02-17,23:56:44
523444,7,96,2021-02-09,18:11:32
497288,4,68,2021-02-18,07:26:01
909417,7,77,2021-02-27,13:11:02
597818,8,16,2021-02-11,19:34:56
114402,7,73,2021-02-26,13:47:22
8552,9,70,2021-02-24,02:11:31
478269,1,63,2021-02-15,09:59:16
528756,7,82,2021-02-02,04:29:13
643680,5,70,2021-02-08,09:38:49
819960,6,33,2021-02-01,19:17:37
53648,3,98,2021-02-22,00:47:49
645906,6,47,2021-02-04,22:40:19
792522,3,46,2021-02-18,05:44:20
671190,1,56,2021-02-01,10:44:10
971766,3,36,2021-02-08,17:05:54
452938,4,93,2021-02-11,04:20:50
797378,8,52,2021-02-08,03:51:54
406321,8,49,2021-02-25,02:52:49
389365,7,52,2021-02-07,11:47:43
45838,7,22,2021-02-24,18:03:11
857299,4,65,2021-02-10,04:10:54
785602,7,93,2021-02-18,08:01:32
60265,7,87,2021-02-19,23:41:17
282843,9,92,2021-02-26,12:54:01
174922,8,15,2021-02-28,21:47:19
376592,1,92,2021-02-08,18:26:33
365048,5,6,2021-02-07,17:11:52
75501,4,32,2021-02-16,10:59:30
779792,1,35,2021-02-21,20:40:22
445390,6,27,2021-02-22,03:23:44
928371,9,58,2021-02-20,06:32:32
223423,4,5,2021-02-16,22:39:26
982231,3,34,2021-02-27,20:49:43
196816,1,37,2021-02-22,09:38:57
785824,8,11,2021-02-12,14:17:16
853755,8,57,2021-02-12,14:28:57
149868,3,81,2021-02-05,00:44:23
51219,8,51,2021-02-08,14:07:09
518430,1,93,2021-02-05,08:25:08
218696,7,86,2021-02-26,10:52:46
61034,5,77,2021-02-24,12:28:08
256975,9,98,2021-02-17,05:48:54
181719,6,11,2021-02-22,08:33:14
253058,2,65,2021-02-16,01:58:25
339048,9,69,2021-02-07,00:02:33
122709,8,46,2021-02-25,10:54:52
967381,1,10,2021-02-15,14:55:37
263200,9,52,2021-02-07,06:54:51.
